L, M, E0, E1, E2, dE0, dE1-0 
10, 5, -4.07195, -2.26898, -0.592344, 0.443494, 1.80298
10, 10, -4.27855, -3.94677, -3.05612, 0.236901, 0.331773
10, 15, -4.51543, -4.09022, -3.51256, 2.03742e-05, 0.425209
10, 20, -4.51545, -4.09219, -3.75968, 1.45801e-07, 0.423259
10, 25, -4.51545, -4.09221, -3.7706, 8.66871e-11, 0.423239
10, 30, -4.51545, -4.09221, -3.7706, 9.20446e-11, 0.423239
10, 35, -4.51545, -4.09221, -3.7706, 9.2041e-11, 0.423239
10, 40, -4.51545, -4.09221, -3.7706, 9.20437e-11, 0.423239
10, 45, -4.51545, -4.09221, -3.7706, 9.20455e-11, 0.423239
10, 50, -4.51545, -4.44888, -4.09221, 9.20428e-11, 0.0665652
12, 5, -4.20571, -2.40973, -0.465537, 0.309735, 1.79599
12, 10, -4.79536, -4.19191, -3.33826, 0.279912, 0.603447
12, 15, -5.37752, -4.88333, -4.47822, 0.862074, 0.494187
12, 20, -5.38736, -5.03082, -4.73609, 0.871916, 0.356544
12, 25, -5.38739, -5.03154, -4.77494, 0.871944, 0.355852
12, 30, -5.38739, -5.03154, -4.77737, 0.871945, 0.355848
12, 35, -5.38739, -5.03154, -4.77739, 0.871945, 0.355848
12, 40, -5.38739, -5.03154, -4.77739, 0.871945, 0.355848
12, 45, -5.38739, -5.03154, -4.77739, 0.871945, 0.355848
12, 50, -5.38739, -5.03154, -4.77739, 0.871945, 0.355848
14, 5, -4.81871, -2.58272, -0.442312, 0.303265, 2.23599
14, 10, -5.93923, -5.16631, -3.98788, 1.42378, 0.77292
14, 15, -6.20026, -5.64996, -5.14012, 1.68481, 0.550294
14, 20, -6.26296, -5.95309, -5.52463, 1.74751, 0.309872
14, 25, -6.26354, -5.95581, -5.62943, 1.74809, 0.307721
14, 30, -6.26355, -5.95644, -5.61803, 1.7481, 0.307114
14, 35, -6.26355, -5.95644, -5.74806, 1.7481, 0.307106
14, 40, -6.26355, -5.95644, -5.74806, 1.7481, 0.307106
14, 45, -6.26355, -5.95644, -5.74806, 1.7481, 0.307106
14, 50, -6.26355, -5.95644, -5.74806, 1.7481, 0.307106
16, 5, -5.26938, -2.78448, -0.433036, 0.753936, 2.4849
16, 10, -6.82511, -5.75188, -4.43957, 2.30966, 1.07323
16, 15, -7.11765, -6.68333, -5.98595, 2.60221, 0.434328
16, 20, -7.1353, -6.75574, -6.44541, 2.61985, 0.379556
16, 25, -7.14084, -6.87136, -6.45479, 2.6254, 0.269488
16, 30, -7.14216, -6.87078, -6.65029, 2.62672, 0.271388
16, 35, -7.1423, -6.8721, -6.69609, 2.62685, 0.270192
16, 40, -7.1423, -6.87211, -6.69651, 2.62685, 0.27019
16, 45, -7.1423, -6.87211, -6.69655, 2.62685, 0.27019
16, 50, -7.1423, -6.87211, -6.69655, 2.62685, 0.27019
18, 5, -5.6284, -2.91036, -0.397171, 1.11296, 2.71804
18, 10, -7.65873, -6.23508, -4.7974, 3.14328, 1.42365
18, 15, -7.87489, -7.23418, -6.44847, 3.35945, 0.64071
18, 20, -8.01135, -7.69765, -7.25455, 3.4959, 0.313691
18, 25, -7.91573, -7.77043, -7.43221, 3.40028, 0.145294
18, 30, -8.0227, -7.77232, -7.52147, 3.50726, 0.250378
18, 35, -8.02275, -7.78138, -7.62458, 3.5073, 0.24137
18, 40, -8.02275, -7.7815, -7.62975, 3.5073, 0.241252
18, 45, -8.02275, -7.7815, -7.63036, 3.5073, 0.24125
18, 50, -8.02275, -7.7815, -7.63048, 3.5073, 0.241249
20, 5, -5.90658, -3.0139, -0.340069, 1.39114, 2.89268
20, 10, -8.44162, -6.90098, -5.23671, 3.92618, 1.54065
20, 15, -8.61299, -7.91122, -7.02926, 4.09754, 0.701772
20, 20, -8.89523, -8.60703, -7.98129, 4.37978, 0.288204
20, 25, -8.90405, -8.50781, -8.27274, 4.3886, 0.39624
20, 30, -8.9038, -8.6855, -8.37911, 4.38836, 0.218308
20, 35, -8.89735, -8.68417, -8.50617, 4.3819, 0.213178
20, 40, -8.90439, -8.68615, -8.5449, 4.38894, 0.218234
20, 45, -8.90439, -8.68644, -8.55035, 4.38894, 0.217948
20, 50, -8.90439, -8.68644, -8.55436, 4.38894, 0.217946
